iter	Passed	Remaining
0	59	59507
1	114	57158
2	175	58438
3	232	57956
4	290	57777
5	344	57021
6	398	56578
7	452	56085
8	507	55912
9	560	55491
10	615	55330
11	671	55326
12	731	55539
13	786	55401
14	840	55211
15	897	55207
16	957	55388
17	1009	55081
18	1061	54822
19	1115	54651
20	1172	54681
21	1233	54824
22	1281	54442
23	1339	54465
24	1395	54416
25	1442	54025
26	1497	53961
27	1543	53580
28	1599	53553
29	1649	53329
30	1699	53118
31	1754	53085
32	1805	52907
33	1856	52754
34	1906	52562
35	1959	52469
36	2009	52307
37	2058	52109
38	2112	52054
39	2166	51997
40	2215	51815
41	2258	51511
42	2304	51287
43	2359	51266
44	2416	51293
45	2467	51173
46	2513	50955
47	2563	50848
48	2617	50791
49	2669	50716
50	2724	50691
51	2760	50331
52	2812	50256
53	2861	50135
54	2915	50099
55	2965	49990
56	3020	49971
57	3074	49940
58	3121	49792
59	3176	49770
60	3227	49686
61	3279	49612
62	3333	49576
63	3381	49452
64	3429	49329
65	3481	49266
66	3531	49177
67	3584	49134
68	3640	49116
69	3699	49149
70	3751	49080
71	3801	48997
72	3854	48943
73	3904	48864
74	3962	48866
75	4011	48770
76	4061	48682
77	4111	48596
78	4158	48486
79	4205	48363
80	4255	48279
81	4309	48248
82	4362	48199
83	4418	48180
84	4471	48133
85	4516	48006
86	4571	47970
87	4621	47899
88	4668	47782
89	4721	47744
90	4777	47717
91	4831	47687
92	4889	47688
93	4946	47675
94	4994	47574
95	5048	47537
96	5101	47488
97	5152	47422
98	5203	47356
99	5257	47316
100	5305	47226
101	5362	47214
102	5418	47185
103	5463	47068
104	5513	46996
105	5565	46941
106	5629	46985
107	5687	46976
108	5741	46929
109	5791	46862
110	5843	46800
111	5899	46772
112	5953	46731
113	6004	46666
114	6056	46606
115	6103	46516
116	6155	46454
117	6212	46437
118	6255	46314
119	6307	46252
120	6354	46162
121	6404	46089
122	6455	46025
123	6497	45904
124	6555	45887
125	6615	45885
126	6669	45844
127	6724	45809
128	6779	45773
129	6829	45706
130	6882	45655
131	6935	45603
132	6986	45542
133	7040	45503
134	7093	45448
135	7143	45380
136	7199	45353
137	7249	45280
138	7299	45213
139	7346	45129
140	7399	45081
141	7445	44988
142	7496	44924
143	7547	44863
144	7597	44799
145	7644	44713
146	7692	44637
147	7744	44585
148	7787	44476
149	7839	44423
150	7888	44350
151	7935	44273
152	7979	44172
153	8033	44129
154	8085	44078
155	8133	44001
156	8181	43932
157	8235	43886
158	8264	43714
159	8302	43586
160	8355	43539
161	8406	43484
162	8458	43433
163	8506	43360
164	8553	43287
165	8606	43240
166	8656	43178
167	8704	43109
168	8755	43052
169	8787	42901
170	8834	42829
171	8880	42749
172	8922	42654
173	8958	42528
174	8987	42367
175	9038	42314
176	9087	42252
177	9134	42184
178	9185	42130
179	9238	42086
180	9287	42025
181	9329	41933
182	9384	41894
183	9437	41854
184	9483	41779
185	9534	41726
186	9586	41679
187	9636	41623
188	9686	41564
189	9735	41503
190	9785	41448
191	9836	41393
192	9883	41327
193	9922	41224
194	9968	41153
195	10020	41103
196	10066	41033
197	10119	40989
198	10166	40923
199	10213	40855
200	10264	40803
201	10316	40755
202	10363	40686
203	10404	40596
204	10451	40532
205	10502	40479
206	10550	40418
207	10598	40356
208	10648	40299
209	10702	40260
210	10755	40217
211	10802	40154
212	10851	40094
213	10901	40039
214	10952	39988
215	11007	39954
216	11057	39897
217	11106	39840
218	11155	39782
219	11201	39715
220	11254	39671
221	11302	39611
222	11357	39572
223	11404	39508
224	11453	39451
225	11500	39387
226	11547	39323
227	11606	39297
228	11645	39208
229	11693	39148
230	11742	39090
231	11793	39041
232	11841	38980
233	11890	38923
234	11945	38887
235	11995	38832
236	12046	38783
237	12096	38729
238	12143	38667
239	12197	38624
240	12246	38569
241	12301	38529
242	12350	38474
243	12400	38420
244	12451	38371
245	12506	38333
246	12557	38283
247	12609	38235
248	12650	38153
249	12702	38106
250	12754	38060
251	12803	38004
252	12831	37884
253	12883	37840
254	12934	37789
255	12989	37750
256	13035	37687
257	13090	37648
258	13140	37595
259	13187	37534
260	13237	37480
261	13285	37423
262	13337	37376
263	13386	37319
264	13432	37256
265	13484	37210
266	13529	37143
267	13579	37090
268	13627	37031
269	13680	36988
270	13731	36939
271	13780	36882
272	13829	36827
273	13877	36770
274	13924	36709
275	13972	36651
276	14024	36604
277	14069	36540
278	14120	36490
279	14167	36431
280	14224	36396
281	14275	36346
282	14329	36304
283	14377	36248
284	14429	36199
285	14480	36150
286	14533	36106
287	14580	36045
288	14637	36011
289	14690	35966
290	14741	35917
291	14775	35826
292	14824	35770
293	14875	35721
294	14927	35674
295	14976	35620
296	15026	35566
297	15079	35522
298	15128	35468
299	15181	35422
300	15233	35375
301	15271	35295
302	15327	35257
303	15374	35198
304	15423	35144
305	15474	35095
306	15523	35040
307	15570	34982
308	15619	34929
309	15672	34882
310	15720	34826
311	15771	34777
312	15807	34696
313	15859	34648
314	15914	34607
315	15963	34553
316	16015	34507
317	16068	34460
318	16118	34410
319	16163	34347
320	16198	34264
321	16246	34209
322	16301	34167
323	16346	34105
324	16399	34059
325	16445	34001
326	16496	33952
327	16545	33897
328	16592	33839
329	16641	33787
330	16693	33739
331	16741	33684
332	16794	33639
